domains,country,web_pages,name
utrgv.edu,"United States",https://www.utrgv.edu/,"The University of Texas at Rio Grande Valley"
etbu.edu,"United States",https://www.etbu.edu/,"East Texas Baptist University"
stcl.edu,"United States",http://www.stcl.edu/,"South Texas College of Law"
swt.edu,"United States",http://www.swt.edu/,"Southwest Texas State University"
tamiu.edu,"United States",http://www.tamiu.edu/,"Texas A&M International University"
tamu.edu,"United States",http://www.tamu.edu/,"Texas A&M University - College Station"
tamuc.edu,"United States",http://www.tamuc.edu/,"Texas A&M University - Commerce"
tamucc.edu,"United States",http://www.tamucc.edu/,"Texas A&M University - Corpus Christi"
tamuk.edu,"United States",http://www.tamuk.edu/,"Texas A&M University - Kingsville"
tcu.edu,"United States",http://www.tcu.edu/,"Texas Christian University"
tsu.edu,"United States",http://www.tsu.edu/,"Texas Southern University"
txstate.edu,"United States",http://www.txstate.edu/,"Texas State University"
ttu.edu,"United States",http://www.ttu.edu/,"Texas Tech University"
ttuhsc.edu,"United States",http://www.ttuhsc.edu/,"Texas Tech University-Health Sciences Center"
twu.edu,"United States",http://www.twu.edu/,"Texas Woman's University"
unt.edu,"United States",http://www.unt.edu/,"University of North Texas"
"hsc.unt.edu,unthsc.edu","United States",http://www.hsc.unt.edu/,"University of North Texas Health Science Center"
uta.edu,"United States",http://www.uta.edu/,"University of Texas at Arlington"
utexas.edu,"United States",https://www.utexas.edu/,"The University of Texas at Austin"
utb.edu,"United States",http://www.utb.edu/,"University of Texas at Brownsville"
"utd.edu,utdallas.edu","United States",http://www.utdallas.edu/,"University of Texas at Dallas"
utep.edu,"United States",http://www.utep.edu/,"University of Texas at El Paso"
utsa.edu,"United States",https://www.utsa.edu/,"The University of Texas at San Antonio"
uttyler.edu,"United States",http://www.uttyler.edu/,"University of Texas at Tyler"
utmb.edu,"United States",http://www.utmb.edu/,"University of Texas Medical Branch"
panam.edu,"United States",http://www.panam.edu/,"University of Texas - Pan American"
"swmed.edu,utsouthwestern.edu","United States","http://www.swmed.edu/,http://www.utsouthwestern.edu/","University of Texas Southwestern Medical Center"
utpb.edu,"United States",http://www.utpb.edu/,"University of Texas Permian Basin"
wtamu.edu,"United States",http://www.wtamu.edu/,"West Texas A&M University"
ctcd.edu,"United States",http://www.ctcd.edu,"Central Texas College"
nctc.edu,"United States",http://www.nctc.edu,"North Central Texas College"
ntcc.edu,"United States",http://www.ntcc.edu,"Northeast Texas Community College"
swtjc.net,"United States",http://www.swtjc.net,"Southwest Texas Junior College"
harlingen.tstc.edu,"United States",http://www.harlingen.tstc.edu,"Texas State Technical College-​Harlingen"
marshall.tstc.edu,"United States",http://www.marshall.tstc.edu,"Texas State Technical College-​Marshall"
waco.tstc.edu,"United States",http://www.waco.tstc.edu,"Texas State Technical College-​Waco"
westtexas.tstc.edu,"United States",http://www.westtexas.tstc.edu,"Texas State Technical College-​West Texas"
wtc.edu,"United States",http://www.wtc.edu,"Western Texas College"
texascollege.edu,"United States",https://www.texascollege.edu/,"Texas College"
ace.tamut.edu,"United States",https://tamut.edu,"Texas A&M University-Texarkana"
txwes.edu,"United States",https://txwes.edu/,"Texas Wesleyan University"
